language,language name,iso language name,iso 639-1:2002,iso 639-2/t:1998,iso 639-2/b:1998,iso 639-3:2007,scope,type
ab,abkhazian,Abkhazian,ab,abk,,abk,Individual,Living
aa,afar,Afar,aa,aar,,aar,Individual,Living
af,afrikaans,Afrikaans,af,afr,,afr,Individual,Living
ak,akan,Akan,ak,aka,,aka + 2,Macrolanguage,Living
sq,albanian,Albanian,sq,sqi,alb,sqi + 4,Macrolanguage,Living
am,amharic,Amharic,am,amh,,amh,Individual,Living
ar,arabic,Arabic,ar,ara,,ara + 28,Macrolanguage,Living
an,aragonese,Aragonese,an,arg,,arg,Individual,Living
hy,armenian,Armenian,hy,hye,arm,hye,Individual,Living
as,assamese,Assamese,as,asm,,asm,Individual,Living
av,avaric,Avaric,av,ava,,ava,Individual,Living
ae,avestan,Avestan,ae,ave,,ave,Individual,Historical
ay,aymara,Aymara,ay,aym,,aym + 2,Macrolanguage,Living
az,azerbaijani,Azerbaijani,az,aze,,aze + 2,Macrolanguage,Living
bm,bambara,Bambara,bm,bam,,bam,Individual,Living
ba,bashkir,Bashkir,ba,bak,,bak,Individual,Living
eu,basque,Basque,eu,eus,baq,eus,Individual,Living
be,belarusian,Belarusian,be,bel,,bel,Individual,Living
bn,bengali,Bengali,bn,ben,,ben,Individual,Living
bi,bislama,Bislama,bi,bis,,bis,Individual,Living
bs,bosnian,Bosnian,bs,bos,,bos,Individual,Living
br,breton,Breton,br,bre,,bre,Individual,Living
bg,bulgarian,Bulgarian,bg,bul,,bul,Individual,Living
my,burmese,Burmese,my,mya,bur,mya,Individual,Living
ca,catalan,Catalan; Valencian,ca,cat,,cat,Individual,Living
ch,chamorro,Chamorro,ch,cha,,cha,Individual,Living
ce,chechen,Chechen,ce,che,,che,Individual,Living
ny,chichewa,Chichewa; Chewa; Nyanja,ny,nya,,nya,Individual,Living
zh,chinese,Chinese,zh,zho,chi,zho + 19,Macrolanguage,Living
cu,church slavonic,Church Slavonic; Old Slavonic; Old Church Slavonic,cu,chu,,chu,Individual,Historical
cv,chuvash,Chuvash,cv,chv,,chv,Individual,Living
kw,cornish,Cornish,kw,cor,,cor,Individual,Living
co,corsican,Corsican,co,cos,,cos,Individual,Living
cr,cree,Cree,cr,cre,,cre + 6,Macrolanguage,Living
hr,croatian,Croatian,hr,hrv,,hrv,Individual,Living
cs,czech,Czech,cs,ces,cze,ces,Individual,Living
da,danish,Danish,da,dan,,dan,Individual,Living
dv,divehi,Divehi; Dhivehi; Maldivian,dv,div,,div,Individual,Living
nl,dutch,Dutch; Flemish,nl,nld,dut,nld,Individual,Living
dz,dzongkha,Dzongkha,dz,dzo,,dzo,Individual,Living
en,english,English,en,eng,,eng,Individual,Living
eo,esperanto,Esperanto,eo,epo,,epo,Individual,Constructed
et,estonian,Estonian,et,est,,est + 2,Macrolanguage,Living
ee,ewe,Ewe,ee,ewe,,ewe,Individual,Living
fo,faroese,Faroese,fo,fao,,fao,Individual,Living
fj,fijian,Fijian,fj,fij,,fij,Individual,Living
fi,finnish,Finnish,fi,fin,,fin,Individual,Living
fr,french,French,fr,fra,fre,fra,Individual,Living
fy,western frisian,Western Frisian,fy,fry,,fry,Individual,Living
ff,fulah,Fulah,ff,ful,,ful + 9,Macrolanguage,Living
gd,gaelic,Gaelic; Scottish Gaelic,gd,gla,,gla,Individual,Living
gl,galician,Galician,gl,glg,,glg,Individual,Living
lg,ganda,Ganda,lg,lug,,lug,Individual,Living
ka,georgian,Georgian,ka,kat,geo,kat,Individual,Living
de,german,German,de,deu,ger,deu,Individual,Living
el,greek,Greek; Modern (1453–),el,ell,gre,ell,Individual,Living
kl,kalaallisut,Kalaallisut; Greenlandic,kl,kal,,kal,Individual,Living
gn,guarani,Guarani,gn,grn,,grn + 5,Macrolanguage,Living
gu,gujarati,Gujarati,gu,guj,,guj,Individual,Living
ht,haitian,Haitian; Haitian Creole,ht,hat,,hat,Individual,Living
ha,hausa,Hausa,ha,hau,,hau,Individual,Living
haw,hawaiian,Hawaiian,haw,haw,,haw,Individual,Living
he,hebrew,Hebrew,he,heb,,heb,Individual,Living
hz,herero,Herero,hz,her,,her,Individual,Living
hi,hindi,Hindi,hi,hin,,hin,Individual,Living
ho,hiri motu,Hiri Motu,ho,hmo,,hmo,Individual,Living
hu,hungarian,Hungarian,hu,hun,,hun,Individual,Living
is,icelandic,Icelandic,is,isl,ice,isl,Individual,Living
io,ido,Ido,io,ido,,ido,Individual,Constructed
ig,igbo,Igbo,ig,ibo,,ibo,Individual,Living
id,indonesian,Indonesian,id,ind,,ind,Individual,Living
ia,interlingua,Interlingua (International Auxiliary Language Association),ia,ina,,ina,Individual,Constructed
ie,interlingue,Interlingue; Occidental,ie,ile,,ile,Individual,Constructed
iu,inuktitut,Inuktitut,iu,iku,,iku + 2,Macrolanguage,Living
ik,inupiaq,Inupiaq,ik,ipk,,ipk + 2,Macrolanguage,Living
ga,irish,Irish,ga,gle,,gle,Individual,Living
it,italian,Italian,it,ita,,ita,Individual,Living
ja,japanese,Japanese,ja,jpn,,jpn,Individual,Living
jv,javanese,Javanese,jv,jav,,jav,Individual,Living
kn,kannada,Kannada,kn,kan,,kan,Individual,Living
kr,kanuri,Kanuri,kr,kau,,kau + 3,Macrolanguage,Living
ks,kashmiri,Kashmiri,ks,kas,,kas,Individual,Living
kk,kazakh,Kazakh,kk,kaz,,kaz,Individual,Living
km,central khmer,Central Khmer,km,khm,,khm,Individual,Living
ki,kikuyu,Kikuyu; Gikuyu,ki,kik,,kik,Individual,Living
rw,kinyarwanda,Kinyarwanda,rw,kin,,kin,Individual,Living
ky,kyrgyz,Kyrgyz; Kirghiz,ky,kir,,kir,Individual,Living
kv,komi,Komi,kv,kom,,kom + 2,Macrolanguage,Living
kg,kongo,Kongo,kg,kon,,kon + 3,Macrolanguage,Living
ko,korean,Korean,ko,kor,,kor,Individual,Living
kj,kuanyama,Kuanyama; Kwanyama,kj,kua,,kua,Individual,Living
ku,kurdish,Kurdish,ku,kur,,kur + 3,Macrolanguage,Living
lo,lao,Lao,lo,lao,,lao,Individual,Living
la,latin,Latin,la,lat,,lat,Individual,Historical
lv,latvian,Latvian,lv,lav,,lav + 2,Macrolanguage,Living
li,limburgan,Limburgan; Limburger; Limburgish,li,lim,,lim,Individual,Living
ln,lingala,Lingala,ln,lin,,lin,Individual,Living
lt,lithuanian,Lithuanian,lt,lit,,lit,Individual,Living
lu,luba-katanga,Luba-Katanga,lu,lub,,lub,Individual,Living
lb,luxembourgish,Luxembourgish; Letzeburgesch,lb,ltz,,ltz,Individual,Living
mk,macedonian,Macedonian,mk,mkd,mac,mkd,Individual,Living
mg,malagasy,Malagasy,mg,mlg,,mlg + 11,Macrolanguage,Living
ms,malay,Malay,ms,msa,may,msa + 36,Macrolanguage,Living
ml,malayalam,Malayalam,ml,mal,,mal,Individual,Living
mt,maltese,Maltese,mt,mlt,,mlt,Individual,Living
gv,manx,Manx,gv,glv,,glv,Individual,Living
mi,maori,Maori,mi,mri,mao,mri,Individual,Living
mr,marathi,Marathi,mr,mar,,mar,Individual,Living
mh,marshallese,Marshallese,mh,mah,,mah,Individual,Living
mn,mongolian,Mongolian,mn,mon,,mon + 2,Macrolanguage,Living
na,nauru,Nauru,na,nau,,nau,Individual,Living
nv,navajo,Navajo; Navaho,nv,nav,,nav,Individual,Living
nd,north ndebele,North Ndebele,nd,nde,,nde,Individual,Living
nr,south ndebele,South Ndebele,nr,nbl,,nbl,Individual,Living
ng,ndonga,Ndonga,ng,ndo,,ndo,Individual,Living
ne,nepali,Nepali,ne,nep,,nep + 2,Macrolanguage,Living
no,norwegian,Norwegian,no,nor,,nor + 2,Macrolanguage,Living
nb,norwegian bokmal,Norwegian Bokmål,nb,nob,,nob,Individual,Living
nn,norwegian nynorsk,Norwegian Nynorsk,nn,nno,,nno,Individual,Living
oc,occitan,Occitan,oc,oci,,oci,Individual,Living
oj,ojibwa,Ojibwa,oj,oji,,oji + 7,Macrolanguage,Living
or,oriya,Oriya,or,ori,,ori + 2,Macrolanguage,Living
om,oromo,Oromo,om,orm,,orm + 4,Macrolanguage,Living
os,ossetian,Ossetian; Ossetic,os,oss,,oss,Individual,Living
pi,pali,Pali,pi,pli,,pli,Individual,Historical
ps,pashto,Pashto; Pushto,ps,pus,,pus + 3,Macrolanguage,Living
fa,persian,Persian,fa,fas,per,fas + 2,Macrolanguage,Living
pl,polish,Polish,pl,pol,,pol,Individual,Living
pt,portuguese,Portuguese,pt,por,,por,Individual,Living
pa,punjabi,Punjabi; Panjabi,pa,pan,,pan,Individual,Living
qu,quechua,Quechua,qu,que,,que + 43,Macrolanguage,Living
ro,romanian,Romanian; Moldavian; Moldovan,ro,ron,rum,ron,Individual,Living
rm,romansh,Romansh,rm,roh,,roh,Individual,Living
rn,rundi,Rundi,rn,run,,run,Individual,Living
ru,russian,Russian,ru,rus,,rus,Individual,Living
se,northern sami,Northern Sami,se,sme,,sme,Individual,Living
sm,samoan,Samoan,sm,smo,,smo,Individual,Living
sg,sango,Sango,sg,sag,,sag,Individual,Living
sa,sanskrit,Sanskrit,sa,san,,san + 2,Macrolanguage,Historical
sc,sardinian,Sardinian,sc,srd,,srd + 4,Macrolanguage,Living
sr,serbian,Serbian,sr,srp,,srp,Individual,Living
sn,shona,Shona,sn,sna,,sna,Individual,Living
sd,sindhi,Sindhi,sd,snd,,snd,Individual,Living
si,sinhala,Sinhala; Sinhalese,si,sin,,sin,Individual,Living
sk,slovak,Slovak,sk,slk,slo,slk,Individual,Living
sl,slovenian,Slovenian,sl,slv,,slv,Individual,Living
so,somali,Somali,so,som,,som,Individual,Living
st,southern sotho,Southern Sotho,st,sot,,sot,Individual,Living
es,spanish,Spanish; Castilian,es,spa,,spa,Individual,Living
su,sundanese,Sundanese,su,sun,,sun,Individual,Living
sw,swahili,Swahili,sw,swa,,swa + 2,Macrolanguage,Living
ss,swati,Swati,ss,ssw,,ssw,Individual,Living
sv,swedish,Swedish,sv,swe,,swe,Individual,Living
tl,tagalog,Tagalog,tl,tgl,,tgl,Individual,Living
ty,tahitian,Tahitian,ty,tah,,tah,Individual,Living
tg,tajik,Tajik,tg,tgk,,tgk,Individual,Living
ta,tamil,Tamil,ta,tam,,tam,Individual,Living
tt,tatar,Tatar,tt,tat,,tat,Individual,Living
